Statename,CourseofStudy,ClassOfGrade,Date of Graduation,MaritalStatus,Gender,DateOfBirth,College,DeptmentCode
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1999-10-01,COLAMRUD,AEFM
Oyo State,MICROBIOLOGY/B.Sc.,Second Class Upper,NA,S,M,2002-11-05,COLBIOS,MCB
Lagos State,FORESTRY AND WILDLIFE MANAGEMENT (WILDLIFE OPTION)/B.FWM,Second Class Upper,NA,S,F,1999-12-26,COLERM,FWM
Oyo State,ZOOLOGY/B.SC.,Second Class Upper,NA,S,M,1997-03-01,COLBIOS,PAZ
Lagos State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,F,2001-12-10,COLFHEC,NUD
Ogun State,MECHANICAL ENGINEERING/B.ENGR.,Second Class Upper,NA,S,M,1998-10-03,COLENG,MCE
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2001-11-16,COLAMRUD,AGAD
Ogun State,HOME SCIENCE AND MANAGEMENT(CLOTHING & TEXTILE)/B.Sc.,Second Class Upper,NA,S,F,2000-06-12,COLFHEC,HSM
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1996-10-18,COLPLANT,PBST
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2002-02-22,COLANIM,ABG
Osun State,MATHEMATICS/B.Sc.,Second Class Upper,NA,S,M,1999-11-28,COLPHYS,MTS
Ogun State,ENVIRONMENTAL MANAGEMENT & TOXICOLOGY (ENV.  MGT OPTION)/B.EMT,Second Class Upper,NA,S,M,1997-10-07,COLERM,EMT
Ogun State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,F,1997-03-08,COLFHEC,NUD
Ogun State,PHYSICS/B.Sc.,Second Class Upper,NA,S,F,2000-09-14,COLPHYS,PHS
Lagos State,ZOOLOGY/B.SC.,Second Class Upper,NA,S,M,2000-08-30,COLBIOS,PAZ
Ogun State,HOSPITALITY AND TOURISM/B.Sc.,Second Class Upper,NA,S,F,2003-02-18,COLFHEC,HTM
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1997-07-08,COLANIM,ABG
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1997-02-26,COLANIM,ANP
Ogun State,ENVIRONMENTAL MANAGEMENT & TOXICOLOGY (ENV.  MGT OPTION)/B.EMT,Second Class Upper,NA,S,F,1998-10-22,COLERM,EMT
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2001-11-21,COLAMRUD,AEFM
Ondo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2002-04-09,COLPLANT,HRT
Oyo State,COMPUTER SCIENCE/B.Sc.,Second Class Upper,NA,S,M,2002-01-28,COLPHYS,CSC
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1998-06-15,COLANIM,ANP
Oyo State,PHYSICS/B.Sc.,Second Class Upper,NA,S,F,2000-01-14,COLPHYS,PHS
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2001-05-06,COLPLANT,PPCP
Oyo State,ENVIRONMENTAL MANAGEMENT & TOXICOLOGY (ENV.  MGT OPTION)/B.EMT,Second Class Upper,NA,S,M,2001-09-29,COLERM,EMT
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2000-03-18,COLPLANT,HRT
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1996-06-20,COLAMRUD,AEFM
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1998-02-01,COLANIM,ANN
Kogi State,MICROBIOLOGY/B.Sc.,Second Class Upper,NA,S,F,2000-11-09,COLBIOS,MCB
Lagos State,MICROBIOLOGY/B.Sc.,Second Class Upper,NA,S,F,2002-09-16,COLBIOS,MCB
Ogun State,AQUACULTURE AND FISHERIES MANAGEMENT/B.AQFM,Second Class Upper,NA,S,M,1993-11-30,COLERM,AQFM
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2001-12-16,COLPLANT,CPT
Ogun State,BIOCHEMISTRY/B.SC.,Second Class Upper,NA,S,F,2002-10-02,COLBIOS,BCH
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1998-04-23,COLANIM,APH
Lagos State,COMPUTER SCIENCE/B.Sc.,Second Class Upper,NA,S,F,2001-03-17,COLPHYS,CSC
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2003-05-13,COLAMRUD,AEFM
Osun State,BIOCHEMISTRY/B.SC.,Second Class Upper,NA,S,M,2000-01-28,COLBIOS,BCH
Oyo State,BIOCHEMISTRY/B.SC.,Second Class Upper,NA,S,F,2000-04-24,COLBIOS,BCH
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2002-05-26,COLANIM,ABG
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2000-09-12,COLAMRUD,AERD
Oyo State,MICROBIOLOGY/B.Sc.,Second Class Upper,NA,S,F,2000-03-21,COLBIOS,MCB
Ogun State,FORESTRY AND WILDLIFE MANAGEMENT (WILDLIFE OPTION)/B.FWM,Second Class Upper,NA,S,F,1999-12-12,COLERM,FWM
Ogun State,PHYSICS/B.Sc.,Second Class Upper,NA,S,M,2004-04-27,COLPHYS,PHS
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1999-12-24,COLANIM,APH
Cross River State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1998-08-09,COLANIM,ANN
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2001-07-24,COLANIM,APH
Oyo State,COMPUTER SCIENCE/B.Sc.,Second Class Upper,NA,S,M,2001-11-21,COLPHYS,CSC
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2001-08-30,COLAMRUD,AERD
Ondo State,BOTANY/B.SC.,Second Class Upper,NA,S,F,2001-12-17,COLBIOS,PAB
Oyo State,PHYSICS/B.Sc.,Second Class Upper,NA,S,M,2000-12-04,COLPHYS,PHS
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2000-05-06,COLANIM,PRM
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2001-12-16,COLPLANT,SSLM
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2001-12-22,COLANIM,APH
Ogun State,MATHEMATICS/B.Sc.,Second Class Upper,NA,S,F,2003-01-22,COLPHYS,MTS
Lagos State,MICROBIOLOGY/B.Sc.,Second Class Upper,NA,S,M,1996-07-27,COLBIOS,MCB
Ogun State,HOSPITALITY AND TOURISM/B.Sc.,Second Class Upper,NA,S,F,1998-03-15,COLFHEC,HTM
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1998-05-28,COLPLANT,CPT
Oyo State,COMPUTER SCIENCE/B.Sc.,Second Class Upper,NA,S,M,2000-04-04,COLPHYS,CSC
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2001-04-14,COLAMRUD,AGAD
Lagos State,MATHEMATICS/B.Sc.,Second Class Upper,NA,S,M,1998-10-27,COLPHYS,MTS
Oyo State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,Second Class Upper,NA,S,F,2000-02-09,COLFHEC,FST
Lagos State,STATISTICS/B.Sc.,Second Class Upper,NA,S,M,2002-11-10,COLPHYS,STS
Ogun State,AQUACULTURE AND FISHERIES MANAGEMENT/B.AQFM,Second Class Upper,NA,S,M,2000-12-20,COLERM,AQFM
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2001-04-07,COLANIM,ANN
Lagos State,AQUACULTURE AND FISHERIES MANAGEMENT/B.AQFM,Second Class Upper,NA,S,F,1999-12-03,COLERM,AQFM
Oyo State,HOSPITALITY AND TOURISM/B.Sc.,Second Class Upper,NA,S,F,2002-08-07,COLFHEC,HTM
Lagos State,HOSPITALITY AND TOURISM/B.Sc.,Second Class Upper,NA,S,F,2002-07-17,COLFHEC,HTM
Oyo State,FORESTRY AND WILDLIFE MANAGEMENT (WILDLIFE OPTION)/B.FWM,Second Class Upper,NA,S,F,2000-01-30,COLERM,FWM
Ogun State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,Second Class Upper,NA,S,F,2001-08-01,COLFHEC,FST
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1998-01-11,COLAMRUD,AERD
Ondo State,WATER RESOURCES MANAGEMENT AND AGROMETEOROLOGY (HYDROLOGY OPTION)/B.WRMA,Second Class Upper,NA,S,M,2000-03-27,COLERM,WMA
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1998-11-06,COLAMRUD,AERD
Ogun State,MATHEMATICS/B.Sc.,Second Class Upper,NA,S,M,2000-09-19,COLPHYS,MTS
Lagos State,COMPUTER SCIENCE/B.Sc.,Second Class Upper,NA,S,M,2001-05-15,COLPHYS,CSC
Ogun State,COMPUTER SCIENCE/B.Sc.,Second Class Upper,NA,S,M,2001-08-02,COLPHYS,CSC
Ogun State,HOME SCIENCE AND MANAGEMENT(CHILD DEVELOPMENT & FAMILY STUDIES)/B.Sc.,Second Class Upper,NA,S,F,2000-11-04,COLFHEC,HSM
Ogun State,MECHATRONICS ENGINEERING/B.ENGR.,Second Class Upper,NA,S,M,2003-03-16,COLENG,MTE
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1997-12-12,COLANIM,ANN
Lagos State,COMPUTER SCIENCE/B.Sc.,Second Class Upper,NA,S,M,2002-04-25,COLPHYS,CSC
Oyo State,ENVIRONMENTAL MANAGEMENT & TOXICOLOGY (ENV. TOXICOLOGY OPTION)/B.EMT,Second Class Upper,NA,S,F,2002-03-29,COLERM,EMT
Ogun State,ZOOLOGY/B.SC.,Second Class Upper,NA,S,F,2001-09-09,COLBIOS,PAZ
Oyo State,AGRICULTURAL AND BIO-RESOURCES ENGINEERING/B.ENG,Second Class Upper,NA,S,F,1998-09-28,COLENG,ABE
Ogun State,BIOCHEMISTRY/B.SC.,Second Class Upper,NA,S,M,2001-11-15,COLBIOS,BCH
Ogun State,AQUACULTURE AND FISHERIES MANAGEMENT/B.AQFM,Second Class Upper,NA,S,M,2001-05-16,COLERM,AQFM
Delta State,AQUACULTURE AND FISHERIES MANAGEMENT/B.AQFM,Second Class Upper,NA,S,F,1999-08-30,COLERM,AQFM
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2001-04-12,COLPLANT,SSLM
Ebonyi State,MATHEMATICS/B.Sc.,Second Class Upper,NA,S,F,2000-03-08,COLPHYS,MTS
Oyo State,COMPUTER SCIENCE/B.Sc.,Second Class Upper,NA,S,M,2002-12-03,COLPHYS,CSC
Oyo State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,Second Class Upper,NA,S,M,2001-04-20,COLFHEC,FST
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1996-04-04,COLPLANT,PPCP
Ogun State,MECHANICAL ENGINEERING/B.ENGR.,Second Class Upper,NA,S,M,2000-05-29,COLENG,MCE
Osun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2002-06-17,COLAMRUD,AERD
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1999-12-29,COLPLANT,PPCP
Rivers State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1998-10-18,COLPLANT,PPCP
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2001-09-30,COLAMRUD,AERD
Ogun State,ENVIRONMENTAL MANAGEMENT & TOXICOLOGY (ENV.  MGT OPTION)/B.EMT,Second Class Upper,NA,S,F,1998-08-07,COLERM,EMT
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1999-03-11,COLPLANT,PPCP
Lagos State,COMPUTER SCIENCE/B.Sc.,Second Class Upper,NA,S,M,2002-12-09,COLPHYS,CSC
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1998-03-11,COLAMRUD,AERD
Lagos State,MECHANICAL ENGINEERING/B.ENGR.,Second Class Upper,NA,S,M,2002-04-28,COLENG,MCE
Ogun State,STATISTICS/B.Sc.,Second Class Upper,NA,S,F,2002-04-23,COLPHYS,STS
Lagos State,ZOOLOGY/B.SC.,Second Class Upper,NA,S,F,1998-12-10,COLBIOS,PAZ
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2002-03-25,COLPLANT,SSLM
Ogun State,ELECTRICAL AND ELECTRONICS ENGINEERING/B.ENGR.,Second Class Upper,NA,S,M,2001-12-02,COLENG,ELE
Ogun State,BIOCHEMISTRY/B.SC.,Second Class Upper,NA,S,M,2000-10-17,COLBIOS,BCH
Lagos State,STATISTICS/B.Sc.,Second Class Upper,NA,S,M,1999-06-15,COLPHYS,STS
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2000-03-27,COLAMRUD,AERD
Lagos State,STATISTICS/B.Sc.,Second Class Upper,NA,S,M,2002-04-18,COLPHYS,STS
Ogun State,WATER RESOURCES MANAGEMENT AND AGROMETEOROLOGY (HYDROLOGY OPTION)/B.WRMA,Second Class Upper,NA,S,M,2002-09-24,COLERM,WMA
Ondo State,COMPUTER SCIENCE/B.Sc.,Second Class Upper,NA,S,M,2002-06-18,COLPHYS,CSC
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2000-02-01,COLPLANT,PPCP
Lagos State,FORESTRY AND WILDLIFE MANAGEMENT (FORESTRY OPTION)/B.FWM,Second Class Upper,NA,S,F,2002-02-26,COLERM,FWM
Ogun State,PHYSICS/B.Sc.,Second Class Upper,NA,S,M,2001-05-07,COLPHYS,PHS
Lagos State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,Second Class Upper,NA,S,F,2001-05-27,COLFHEC,FST
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,2001-01-28,COLPLANT,PPCP
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,1999-12-26,COLAMRUD,AGAD
Ogun State,STATISTICS/B.Sc.,Second Class Lower,NA,S,M,2001-06-29,COLPHYS,STS
Osun State,HOSPITALITY AND TOURISM/B.Sc.,Second Class Lower,NA,S,F,1997-10-20,COLFHEC,HTM
Ogun State,CHEMISTRY/B.Sc.,Second Class Lower,NA,S,F,2005-06-12,COLPHYS,CHM
Ogun State,MECHANICAL ENGINEERING/B.ENGR.,Second Class Lower,NA,S,M,2001-11-22,COLENG,MCE
Kwara State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,F,2001-11-27,COLAMRUD,AERD
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,2000-11-12,COLANIM,APH
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,2000-10-24,COLANIM,ABG
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,2001-04-08,COLPLANT,PBST
Ogun State,CHEMISTRY/B.Sc.,Second Class Lower,NA,S,M,2001-09-19,COLPHYS,CHM
Lagos State,CHEMISTRY/B.Sc.,Second Class Lower,NA,S,F,2002-07-11,COLPHYS,CHM
Osun State,HOSPITALITY AND TOURISM/B.Sc.,Second Class Lower,NA,S,F,1999-04-14,COLFHEC,HTM
Oyo State,CHEMISTRY/B.Sc.,Second Class Lower,NA,S,F,2002-04-22,COLPHYS,CHM
Oyo State,NUTRITION AND DIETETICS/B.Sc.,Second Class Lower,NA,S,F,2001-03-06,COLFHEC,NUD
Oyo State,COMPUTER SCIENCE/B.Sc.,Second Class Lower,NA,S,F,2003-05-03,COLPHYS,CSC
Lagos State,CIVIL ENGINEERING/B.ENGR.,Second Class Lower,NA,S,M,2002-02-08,COLENG,CVE
Lagos State,CIVIL ENGINEERING/B.ENGR.,Second Class Lower,NA,S,M,2000-11-03,COLENG,CVE
Oyo State,WATER RESOURCES MANAGEMENT AND AGROMETEOROLOGY (HYDROLOGY OPTION)/B.WRMA,Second Class Lower,NA,S,M,1994-05-09,COLERM,WMA
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,F,2000-03-05,COLAMRUD,AGAD
Oyo State,BIOCHEMISTRY/B.SC.,Second Class Lower,NA,S,F,2002-04-03,COLBIOS,BCH
Ogun State,STATISTICS/B.Sc.,Second Class Lower,NA,S,F,1996-05-10,COLPHYS,STS
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,F,2000-01-27,COLPLANT,CPT
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,1999-12-04,COLANIM,APH
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,2001-01-19,COLANIM,ANN
Ogun State,FORESTRY AND WILDLIFE MANAGEMENT (WILDLIFE OPTION)/B.FWM,Second Class Lower,NA,S,F,1996-07-24,COLERM,FWM
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,2000-05-17,COLAMRUD,AEFM
Lagos State,MICROBIOLOGY/B.Sc.,Second Class Lower,NA,S,F,2002-10-26,COLBIOS,MCB
Oyo State,AGRICULTURAL AND BIO-RESOURCES ENGINEERING/B.ENG,Second Class Lower,NA,S,M,2002-08-23,COLENG,ABE
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,1994-10-16,COLANIM,APH
Ogun State,BOTANY/B.SC.,Second Class Lower,NA,S,F,2002-03-25,COLBIOS,PAB
Lagos State,FORESTRY AND WILDLIFE MANAGEMENT (WILDLIFE OPTION)/B.FWM,Second Class Lower,NA,S,M,1994-02-24,COLERM,FWM
Oyo State,MECHATRONICS ENGINEERING/B.ENGR.,Second Class Lower,NA,S,M,1997-11-20,COLENG,MTE
Oyo State,PHYSICS/B.Sc.,Second Class Lower,NA,S,F,1996-01-01,COLPHYS,PHS
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,F,1997-09-03,COLANIM,ANN
Oyo State,COMPUTER SCIENCE/B.Sc.,Second Class Lower,NA,S,M,2003-06-26,COLPHYS,CSC
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,2000-09-22,COLANIM,ABG
Lagos State,CIVIL ENGINEERING/B.ENGR.,Second Class Lower,NA,S,M,2000-04-15,COLENG,CVE
Osun State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,F,1998-08-20,COLANIM,ANN
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,F,1999-04-06,COLANIM,ANN
Osun State,MECHANICAL ENGINEERING/B.ENGR.,Second Class Lower,NA,S,M,2000-11-17,COLENG,MCE
Oyo State,CIVIL ENGINEERING/B.ENGR.,Second Class Lower,NA,S,M,2000-05-08,COLENG,CVE
Ogun State,MICROBIOLOGY/B.Sc.,Second Class Lower,NA,S,F,1999-02-05,COLBIOS,MCB
Oyo State,AQUACULTURE AND FISHERIES MANAGEMENT/B.AQFM,Second Class Lower,NA,S,M,2000-05-24,COLERM,AQFM
Ondo State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,1995-05-27,COLANIM,ANP
Lagos State,COMPUTER SCIENCE/B.Sc.,Second Class Lower,NA,S,M,2002-10-27,COLPHYS,CSC
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,F,2002-01-14,COLANIM,ANN
Ogun State,CHEMISTRY/B.Sc.,Second Class Lower,NA,S,F,1999-08-16,COLPHYS,CHM
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,F,2001-06-13,COLANIM,ANP
Lagos State,CHEMISTRY/B.Sc.,Second Class Lower,NA,S,F,2002-09-26,COLPHYS,CHM
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,F,1997-12-25,COLANIM,PRM
Oyo State,BIOCHEMISTRY/B.SC.,Second Class Lower,NA,S,F,1999-07-14,COLBIOS,BCH
Oyo State,COMPUTER SCIENCE/B.Sc.,Second Class Lower,NA,S,M,2002-09-20,COLPHYS,CSC
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,2000-10-13,COLPLANT,CPT
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,F,2002-09-15,COLANIM,APH
Ogun State,NUTRITION AND DIETETICS/B.Sc.,Second Class Lower,NA,S,M,1999-08-14,COLFHEC,NUD
Oyo State,HOME SCIENCE AND MANAGEMENT(CLOTHING & TEXTILE)/B.Sc.,Second Class Lower,NA,S,F,2002-01-28,COLFHEC,HSM
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,1999-04-15,COLAMRUD,AGAD
Lagos State,ENVIRONMENTAL MANAGEMENT & TOXICOLOGY (ENV.  MGT OPTION)/B.EMT,Second Class Lower,NA,S,M,2002-03-19,COLERM,EMT
Oyo State,ENVIRONMENTAL MANAGEMENT & TOXICOLOGY (ENV.  MGT OPTION)/B.EMT,Second Class Lower,NA,S,F,1996-09-29,COLERM,EMT
Osun State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,1997-05-19,COLPLANT,HRT
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,2000-08-29,COLAMRUD,AEFM
Oyo State,PHYSICS/B.Sc.,Second Class Lower,NA,S,M,2002-02-22,COLPHYS,PHS
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,1996-07-30,COLPLANT,PPCP
Kogi State,AQUACULTURE AND FISHERIES MANAGEMENT/B.AQFM,Second Class Lower,NA,S,F,2002-01-23,COLERM,AQFM
Lagos State,BOTANY/B.SC.,Second Class Lower,NA,S,F,2001-08-28,COLBIOS,PAB
Oyo State,NUTRITION AND DIETETICS/B.Sc.,Second Class Lower,NA,S,F,2000-03-08,COLFHEC,NUD
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,1999-09-18,COLPLANT,HRT
Oyo State,BOTANY/B.SC.,Second Class Lower,NA,S,F,2004-11-10,COLBIOS,PAB
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,F,2000-08-28,COLANIM,ANP
Lagos State,ELECTRICAL AND ELECTRONICS ENGINEERING/B.ENGR.,Second Class Lower,NA,S,M,2002-04-11,COLENG,ELE
Ogun State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,Second Class Lower,NA,S,F,2001-05-20,COLFHEC,FST
Ogun State,HOME SCIENCE AND MANAGEMENT(CHILD DEVELOPMENT & FAMILY STUDIES)/B.Sc.,Second Class Lower,NA,S,F,1995-10-02,COLFHEC,HSM
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,1998-05-23,COLPLANT,PBST
Osun State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,F,2003-01-19,COLPLANT,SSLM
Ogun State,CHEMISTRY/B.Sc.,Second Class Lower,NA,S,M,2000-11-09,COLPHYS,CHM
Oyo State,VETERINARY MEDICINE/DVM,Second Class Lower,NA,S,M,2000-12-19,COLVET,VET
Ogun State,BIOCHEMISTRY/B.SC.,Second Class Lower,NA,S,F,1998-02-27,COLBIOS,BCH
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,2002-08-28,COLPLANT,CPT
Ogun State,MATHEMATICS/B.Sc.,Second Class Lower,NA,S,M,2000-09-25,COLPHYS,MTS
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,F,2002-07-29,COLPLANT,SSLM
Ogun State,COMPUTER SCIENCE/B.Sc.,Second Class Lower,NA,S,M,2001-07-03,COLPHYS,CSC
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,2000-07-20,COLANIM,ABG
Ogun State,HOSPITALITY AND TOURISM/B.Sc.,Second Class Lower,NA,S,M,2001-09-08,COLFHEC,HTM
Oyo State,STATISTICS/B.Sc.,Second Class Lower,NA,S,M,2003-02-27,COLPHYS,STS
Ekiti State,FORESTRY AND WILDLIFE MANAGEMENT (WILDLIFE OPTION)/B.FWM,Second Class Lower,NA,S,F,1998-08-22,COLERM,FWM
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,F,2000-08-24,COLAMRUD,AERD
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,2000-05-25,COLAMRUD,AGAD
Edo State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,1998-01-27,COLPLANT,SSLM
Ondo State,AQUACULTURE AND FISHERIES MANAGEMENT/B.AQFM,Second Class Lower,NA,S,F,1994-09-18,COLERM,AQFM
Ekiti State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,F,2001-09-20,COLPLANT,PBST
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,2000-06-04,COLAMRUD,AGAD
Lagos State,CHEMISTRY/B.Sc.,Second Class Lower,NA,S,M,2000-11-21,COLPHYS,CHM
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,2002-05-19,COLANIM,ANP
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,1999-10-16,COLAMRUD,AGAD
Ogun State,STATISTICS/B.Sc.,Second Class Lower,NA,S,M,2002-03-13,COLPHYS,STS
Lagos State,HOSPITALITY AND TOURISM/B.Sc.,Second Class Lower,NA,S,F,2002-02-18,COLFHEC,HTM
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,F,2001-05-24,COLAMRUD,AERD
Ogun State,MATHEMATICS/B.Sc.,Second Class Lower,NA,S,M,2000-11-30,COLPHYS,MTS
Lagos State,PHYSICS/B.Sc.,Second Class Lower,NA,S,M,2001-12-21,COLPHYS,PHS
Ondo State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,1998-11-28,COLANIM,ANP
Ogun State,HOME SCIENCE AND MANAGEMENT(EXTENSION & RURAL DEVELOPMENT)/B.Sc.,Second Class Lower,NA,S,M,1998-04-26,COLFHEC,HSM
Ogun State,HOSPITALITY AND TOURISM/B.Sc.,Second Class Lower,NA,S,F,1999-04-16,COLFHEC,HTM
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,1999-08-12,COLPLANT,HRT
Osun State,HOSPITALITY AND TOURISM/B.Sc.,Second Class Lower,NA,S,F,1995-06-06,COLFHEC,HTM
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,M,2001-04-04,COLANIM,ANP
Oyo State,FORESTRY AND WILDLIFE MANAGEMENT (WILDLIFE OPTION)/B.FWM,Second Class Lower,NA,S,M,2002-01-08,COLERM,FWM
Ogun State,MICROBIOLOGY/B.Sc.,Second Class Lower,NA,S,M,2001-07-30,COLBIOS,MCB
Ogun State,ENVIRONMENTAL MANAGEMENT & TOXICOLOGY (ENV.  MGT OPTION)/B.EMT,Second Class Lower,NA,S,M,2000-11-25,COLERM,EMT
Lagos State,NUTRITION AND DIETETICS/B.Sc.,Second Class Lower,NA,S,F,2002-02-01,COLFHEC,NUD
Oyo State,STATISTICS/B.Sc.,Second Class Lower,NA,S,F,2003-09-05,COLPHYS,STS
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,F,1999-06-02,COLANIM,ANN
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Lower,NA,S,F,1997-04-14,COLAMRUD,AGAD
