Statename,CourseofStudy,ClassOfGrade,Date of Graduation,MaritalStatus,Gender,DateOfBirth,College,DeptmentCode
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1998-04-07,COLPLANT,HRT
Ekiti State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1997-05-18,COLPLANT,HRT
Ogun State,FORESTRY AND WILDLIFE MANAGEMENT (FORESTRY OPTION)/B.FWM,Second Class Upper,NA,S,M,2000-06-17,COLERM,FWM
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2000-06-11,COLANIM,APH
Ogun State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,Second Class Upper,NA,S,F,2002-04-04,COLFHEC,FST
Ogun State,PHYSICS/B.Sc.,Second Class Upper,NA,S,F,2000-03-28,COLPHYS,PHS
Ogun State,AQUACULTURE AND FISHERIES MANAGEMENT/B.AQFM,Second Class Upper,NA,S,F,1997-05-25,COLERM,AQFM
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1999-09-13,COLAMRUD,AERD
Oyo State,CHEMISTRY/B.Sc.,Second Class Upper,NA,S,M,1998-08-23,COLPHYS,CHM
Oyo State,COMPUTER SCIENCE/B.Sc.,Second Class Upper,NA,S,M,2003-08-10,COLPHYS,CSC
Rivers State,AQUACULTURE AND FISHERIES MANAGEMENT/B.AQFM,Second Class Upper,NA,S,M,1996-05-17,COLERM,AQFM
Lagos State,BIOCHEMISTRY/B.SC.,Second Class Upper,NA,S,M,1994-06-24,COLBIOS,BCH
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1995-07-26,COLANIM,ANN
Ogun State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,Second Class Upper,NA,S,M,1995-05-02,COLFHEC,FST
Oyo State,AQUACULTURE AND FISHERIES MANAGEMENT/B.AQFM,Second Class Upper,NA,S,F,2000-06-30,COLERM,AQFM
Oyo State,PHYSICS/B.Sc.,Second Class Upper,NA,S,M,2001-04-05,COLPHYS,PHS
Abia State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,Second Class Upper,NA,S,F,1997-10-23,COLFHEC,FST
Osun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2002-03-17,COLANIM,ANP
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2000-09-14,COLANIM,PRM
Lagos State,AQUACULTURE AND FISHERIES MANAGEMENT/B.AQFM,Second Class Upper,NA,S,F,1998-09-12,COLERM,AQFM
Ogun State,COMPUTER SCIENCE/B.Sc.,Second Class Upper,NA,S,F,2003-04-02,COLPHYS,CSC
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2002-07-11,COLPLANT,PPCP
Oyo State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,Second Class Upper,NA,S,F,2002-03-09,COLFHEC,FST
Ogun State,CHEMISTRY/B.Sc.,Second Class Upper,NA,S,F,2000-06-12,COLPHYS,CHM
Ogun State,HOME SCIENCE AND MANAGEMENT(CLOTHING & TEXTILE)/B.Sc.,Second Class Upper,NA,S,F,2000-03-26,COLFHEC,HSM
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2001-08-31,COLAMRUD,AGAD
Lagos State,ENVIRONMENTAL MANAGEMENT & TOXICOLOGY (ENV.  MGT OPTION)/B.EMT,Second Class Upper,NA,S,F,2001-06-11,COLERM,EMT
Lagos State,MICROBIOLOGY/B.Sc.,Second Class Upper,NA,S,F,2002-12-18,COLBIOS,MCB
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2000-11-14,COLAMRUD,AGAD
Lagos State,AGRICULTURAL AND BIO-RESOURCES ENGINEERING/B.ENG,Second Class Upper,NA,S,M,2000-11-16,COLENG,ABE
Lagos State,CIVIL ENGINEERING/B.ENGR.,Second Class Upper,NA,S,F,2002-09-11,COLENG,CVE
Lagos State,BIOCHEMISTRY/B.SC.,Second Class Upper,NA,S,M,1997-07-04,COLBIOS,BCH
Oyo State,BIOCHEMISTRY/B.SC.,Second Class Upper,NA,S,F,1997-10-09,COLBIOS,BCH
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1998-09-22,COLPLANT,SSLM
Oyo State,AGRICULTURAL AND BIO-RESOURCES ENGINEERING/B.ENG,Second Class Upper,NA,S,M,1995-11-17,COLENG,ABE
Lagos State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,F,2004-02-08,COLFHEC,NUD
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1998-08-12,COLAMRUD,AGAD
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2000-11-19,COLANIM,ANP
Lagos State,ENVIRONMENTAL MANAGEMENT & TOXICOLOGY (ENV.  MGT OPTION)/B.EMT,Second Class Upper,NA,S,F,2000-05-21,COLERM,EMT
Lagos State,ZOOLOGY/B.SC.,Second Class Upper,NA,S,F,2000-09-20,COLBIOS,PAZ
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1997-06-19,COLANIM,ANN
Oyo State,PHYSICS/B.Sc.,Second Class Upper,NA,S,M,2002-06-09,COLPHYS,PHS
Oyo State,BOTANY/B.SC.,Second Class Upper,NA,S,F,1998-03-21,COLBIOS,PAB
Oyo State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,Second Class Upper,NA,S,F,2001-08-25,COLFHEC,FST
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2002-02-15,COLANIM,APH
Lagos State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,Second Class Upper,NA,S,F,2002-06-28,COLFHEC,FST
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2000-08-20,COLANIM,ABG
Oyo State,STATISTICS/B.Sc.,Second Class Upper,NA,S,F,2001-10-06,COLPHYS,STS
Ogun State,BOTANY/B.SC.,Second Class Upper,NA,S,F,1996-12-02,COLBIOS,PAB
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2002-12-23,COLPLANT,CPT
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1998-01-10,COLPLANT,PBST
Lagos State,STATISTICS/B.Sc.,Second Class Upper,NA,S,M,2002-11-04,COLPHYS,STS
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,2000-06-21,COLAMRUD,AEFM
Oyo State,HOME SCIENCE AND MANAGEMENT(CHILD DEVELOPMENT & FAMILY STUDIES)/B.Sc.,Second Class Upper,NA,S,M,1998-06-16,COLFHEC,HSM
Lagos State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,Second Class Upper,NA,S,F,2001-05-24,COLFHEC,FST
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1999-06-28,COLPLANT,CPT
Ogun State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,F,1998-04-21,COLFHEC,NUD
